Participant,Condition,alarm_file,reaction_time_ms,step_index,pressed_match
U15,Dissonant,c_min7_b5.wav,1335.0,2,True
U15,Dissonant,stacked_tritones.wav,,7,False
U15,Dissonant,c_maj7_b9.wav,,8,False
U15,Consonant,c_major.wav,,9,False
U15,Consonant,c_major_6.wav,,11,False
U15,Dissonant,major_7th_cluster.wav,1585.0,13,True
U15,Dissonant,minor_2nd_cluster.wav,,14,False
U15,Dissonant,c7_sharp_9.wav,719.0,16,True
U08,Dissonant,minor_2nd_cluster.wav,1415.0,3,True
U08,Dissonant,c7_sharp_9.wav,,5,False
U08,Consonant,c_major.wav,,6,False
U08,Consonant,c_major_6.wav,,7,False
U08,Dissonant,major_7th_cluster.wav,,8,False
U08,Dissonant,c_maj7_b9.wav,731.0,12,True
U08,Dissonant,stacked_tritones.wav,,14,False
U08,Dissonant,c_min7_b5.wav,678.0,15,True
U11,Dissonant,stacked_tritones.wav,840.0,3,True
U11,Dissonant,minor_2nd_cluster.wav,,6,False
U11,Dissonant,c_min7_b5.wav,,8,False
U11,Dissonant,major_7th_cluster.wav,,9,False
U11,Dissonant,c7_sharp_9.wav,,11,False
U11,Consonant,c_major.wav,,13,False
U11,Consonant,c_major_6.wav,,18,False
U11,Dissonant,c_maj7_b9.wav,,19,False
U22,Consonant,c_major_6.wav,1265.0,4,True
U22,Dissonant,c_maj7_b9.wav,,9,False
U22,Consonant,c_major.wav,,10,False
U22,Dissonant,c7_sharp_9.wav,,12,False
U22,Dissonant,major_7th_cluster.wav,,13,False
U22,Dissonant,stacked_tritones.wav,,14,False
U22,Dissonant,minor_2nd_cluster.wav,,16,False
U22,Dissonant,c_min7_b5.wav,,20,False
U14,Consonant,c_major.wav,,3,False
U14,Dissonant,c7_sharp_9.wav,563.0,5,True
U14,Dissonant,major_7th_cluster.wav,,6,False
U14,Dissonant,stacked_tritones.wav,,7,False
U14,Dissonant,c_min7_b5.wav,1063.0,9,True
U14,Consonant,c_major_6.wav,,14,False
U14,Dissonant,minor_2nd_cluster.wav,748.0,16,True
U14,Dissonant,c_maj7_b9.wav,,18,False
U23,Dissonant,c7_sharp_9.wav,698.0,4,True
U23,Dissonant,major_7th_cluster.wav,,6,False
U23,Consonant,c_major.wav,829.0,7,True
U23,Dissonant,c_min7_b5.wav,831.0,8,True
U23,Dissonant,stacked_tritones.wav,716.0,11,True
