Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U14-1,0,B,False,,none,,False,True
U14-1,1,G,False,,none,,False,True
U14-1,2,B,True,823.0,none,,True,True
U14-1,3,G,False,,c_major.wav,,True,False
U14-1,4,D,False,,none,,False,True
U14-1,5,D,True,563.0,c7_sharp_9.wav,145.0,False,False
U14-1,6,C,False,,major_7th_cluster.wav,,False,True
U14-1,7,B,False,,stacked_tritones.wav,,False,True
U14-1,8,F,False,,none,,False,True
U14-1,9,C,True,1063.0,c_min7_b5.wav,642.0,False,False
U14-1,10,G,False,,none,,False,True
U14-1,11,F,False,,none,,False,True
U14-1,12,G,False,,none,,True,False
U14-1,13,B,False,,none,,False,True
U14-1,14,B,False,,c_major_6.wav,,False,True
U14-1,15,B,True,617.0,none,,True,True
U14-1,16,B,True,748.0,minor_2nd_cluster.wav,340.0,True,True
U14-1,17,C,False,,none,,False,True
U14-1,18,F,False,,c_maj7_b9.wav,,False,True
U14-1,19,D,False,,none,,False,True
U14-1,20,C,False,,none,,False,True
U14-1,21,D,False,,none,,True,False
