Participant_ID,step_index,heard_letter,pressed_match,reaction_time_ms,alarm_file,latency_from_alarm_ms,is_target,correct
U15,0,D,False,,none,,False,True
U15,1,G,False,,none,,False,True
U15,2,C,False,,c_maj7_b9.wav,,False,True
U15,3,D,False,,stacked_tritones.wav,,False,True
U15,4,C,False,,none,,True,False
U15,5,D,True,728.0,none,,True,True
U15,6,G,False,,c_min7_b5.wav,,False,True
U15,7,D,True,638.0,none,,True,True
U15,8,F,False,,c7_sharp_9.wav,,False,True
U15,9,F,False,,none,,False,True
U15,10,B,False,,minor_2nd_cluster.wav,,False,True
U15,11,F,True,734.0,c_major.wav,325.0,True,True
U15,12,G,False,,none,,False,True
U15,13,C,False,,none,,False,True
U15,14,B,False,,none,,False,True
U15,15,C,True,1090.0,major_7th_cluster.wav,680.0,True,True
U15,16,C,False,,c_major_6.wav,,False,True
U15,17,G,False,,none,,False,True
U15,18,C,False,,none,,True,False
U15,19,B,False,,none,,False,True
U15,20,B,False,,none,,False,True
U15,21,B,False,,none,,True,False
