Timestamp,What is your Code? (Given by assessor),Have you had experience in musical performances?,How many years of active musical experience do you have?,SOUND A,Sound A - How distracting would this sound be if it played while you were trying to focus on a difficult task?,SOUND B,Sound B - How distracting would this sound be if it played while you were trying to focus on a difficult task?,SOUND C,Sound C - How distracting would this sound be if it played while you were trying to focus on a difficult task?,SOUND D,Sound D - How distracting would this sound be if it played while you were trying to focus on a difficult task?,SOUND E,Sound E - How distracting would this sound be if it played while you were trying to focus on a difficult task?,SOUND F,Sound F - How distracting would this sound be if it played while you were trying to focus on a difficult task?,"When you heard a complex or harsh chord, what was your immediate mental reaction? (Select all that apply) 복잡하거나 불편한 코드를 들었을 때, 직관적으로 든 반응은 무엇이었습니까? (해당되는 것을 모두 선택해 주세요)","Which of the following best describes your internal response when hearing the more complex or tense chords? 더 복잡하거나 긴장감이 높은 코드를 들었을 때, 자신의 내부 반응을 가장 잘 설명하는 것은 무엇입니까?","In your opinion, would the most complex/dissonant chords you heard today make an effective warning alarm in an urgent, high-stakes environment (e.g., a cockpit or a hospital operating room)? 오늘 들은 가장 복잡하고 불협화음적인 코드들이 긴박하고 위험도가 높은 환경(예: 비행기 조종석, 병원 수술실)에서 효과적인 경고음 역할을 할 수 있을 것이라 생각합니까?","If you felt a difference in how your brain processed the simple (smooth) chords versus the complex (tense) chords, please briefly describe that experience. 단순한(부드러운) 코드를 들었을 때와 복잡한(긴장감 있는) 코드를 들었을 때 뇌가 정보를 처리하는 방식의 차이를 느끼셨다면, 그 경험을 간략히 기술해 주세요."
05/06/2026 17:05:45,U01,"Yes, specifically in Jazz theory/performance.",4,2,1,3,2,5,4,1,1,3,2,2,2,I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다.,"I instantly tried to identify the chord's type, root note, or intervals. / 소리를 듣자마자 무의식적·자동적으로 코드의 종류, 근음(Root), 또는 음정을 분석하려 했다.",5,단순코드는 별 생각 없는데 복잡한 코드는 코드 성질 분석을 했습니다
10/06/2026 20:42:45,U06,"Yes, specifically in Jazz theory/performance.",5,5,3,6,4,6,4,2,2,5,4,6,4,"I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다., It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.",I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다.,5,No idea
06/06/2026 14:35:03,U07,No formal musical training (Non-musician).,0,2,3,3,3,5,4,1,2,5,4,3,2,It didn't affect my thinking at all. / 내 사고 과정에 아무런 영향을 주지 않았다.,I was completely indifferent to the sound differences. / 소리의 차이에 대해 완전히 무감각했다.,4,음알못이라 크게 느껴지진 않았다. 
05/06/2026 17:22:40,U08,"Yes, specifically in Jazz theory/performance.",5,1,1,4,4,6,3,3,2,3,3,3,2,I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다.,"I instantly tried to identify the chord's type, root note, or intervals. / 소리를 듣자마자 무의식적·자동적으로 코드의 종류, 근음(Root), 또는 음정을 분석하려 했다.",4,"단순한 코드는 그냥 듣고 넘김, 복잡한 코드는 어떤 음으로 구성되어 있고 그 중 어떤 음이 거슬리는지를 파악하려고 함"
05/06/2026 00:00:08,U09,No formal musical training (Non-musician).,0,1,1,5,4,6,4,2,3,3,3,5,3,It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.,I was completely indifferent to the sound differences. / 소리의 차이에 대해 완전히 무감각했다.,4,"부드러운 코드는 자연스럽게 흘러가는 느낌, 긴장감 있는 코드는 내 본능이 이 음에 집중하라고 신호를 주는느낌이었다. "
04/06/2026 23:57:22,U10,"Yes, in Classical or other non-jazz genres.",8,3,2,6,4,7,5,1,1,5,5,6,5,I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다.,I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다.,5,부드러운 코드를 들었을 때는 분석보다는 직관적으로 감상을 하는 것과 반대로 긴장감 있는 코드는 그 의도가 뭔지 생각하는 과정을 겪었다.
04/06/2026 22:20:15,U11,No formal musical training (Non-musician).,0,2,3,6,4,7,5,3,2,5,4,5,4,It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.,I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다.,4,
04/06/2026 22:49:17,U12,No formal musical training (Non-musician).,0,6,5,6,4,4,3,2,2,1,1,3,2,I just wanted the sound to stop / ignored it. / 그저 소리가 멈추기를 바랐거나 무시했다.,I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다.,1,거부하냐 안 하냐 차이
11/06/2026 00:17:39,U13,"Yes, in Classical or other non-jazz genres.",2,5,5,5,5,6,5,2,5,5,5,3,5,"I tried to figure out what specific notes or intervals were playing. / 어떤 음이나 음정이 연주되고 있는지 구체적으로 파악하려고 노력했다., It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.","I was completely focused on the harshness or unpleasantness of the sound. / 소리의 거칠기나 불쾌함 자체에 완전히 집중했다., I instantly tried to identify the chord's type, root note, or intervals. / 소리를 듣자마자 무의식적·자동적으로 코드의 종류, 근음(Root), 또는 음정을 분석하려 했다.",5,단순한 코드는 편안하고 즐거운 기분이 들었고 복잡한 코드는 듣는 순간 긴장되고 기분이 나빴다.
05/06/2026 14:43:34,U14,No formal musical training (Non-musician).,2,3,3,2,4,4,2,1,4,3,2,2,3,"I just wanted the sound to stop / ignored it. / 그저 소리가 멈추기를 바랐거나 무시했다., It felt like a standard mistake or out-of-tune chord. / 일반적인 연주 실수나 음이 나간 코드로 느껴졌다.",I was completely indifferent to the sound differences. / 소리의 차이에 대해 완전히 무감각했다.,4,단순한 코드는 아무 생각 없이 들을수 있는 반면 복잡한 코드는 좋을수 있기는 하나 내 머릿속도 복잡해지는 기분이다
